,precision,recall,f1-score,support
0,0.9418054278612048,0.7475135135135135,0.8334865219160125,37000.0
1,0.8236193712829227,0.9623003617753463,0.8875754092189996,45332.0
accuracy,0.8657751542535101,0.8657751542535101,0.8657751542535101,0.8657751542535101
macro avg,0.8827123995720638,0.8549069376444298,0.860530965567506,82332.0
weighted avg,0.8767321839608176,0.8657751542535101,0.8632678637906056,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,binary,binary,binary,binary
pca,none,none,none,none
model_training_time,3.92,3.92,3.92,3.92
feature_selection_method,anova,anova,anova,anova
k,10,10,10,10
feature_selection_time,0.09,0.09,0.09,0.09
recall,0.8657751542535101,0.8657751542535101,0.8657751542535101,0.8657751542535101
precision,0.8767321839608176,0.8767321839608176,0.8767321839608176,0.8767321839608176
f1_score,0.8632678637906056,0.8632678637906056,0.8632678637906056,0.8632678637906056
