,precision,recall,f1-score,support
0,0.9403669724770642,0.7812162162162162,0.8534352948123652,37000.0
1,0.8431019110749312,0.9595649872055061,0.8975713430864783,45332.0
accuracy,0.8794150512558908,0.8794150512558908,0.8794150512558908,0.8794150512558908
macro avg,0.8917344417759977,0.8703906017108611,0.8755033189494218,82332.0
weighted avg,0.8868128287239488,0.8794150512558908,0.8777366034209511,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,binary,binary,binary,binary
pca,none,none,none,none
model_training_time,4.35,4.35,4.35,4.35
feature_selection_method,mutual_information,mutual_information,mutual_information,mutual_information
k,20,20,20,20
feature_selection_time,21.52,21.52,21.52,21.52
recall,0.8794150512558908,0.8794150512558908,0.8794150512558908,0.8794150512558908
precision,0.8868128287239488,0.8868128287239488,0.8868128287239488,0.8868128287239488
f1_score,0.8777366034209511,0.8777366034209511,0.8777366034209511,0.8777366034209511
