,precision,recall,f1-score,support
0,0.035211267605633804,0.059084194977843424,0.0441257584114727,677.0
1,0.02551984877126654,0.09262435677530018,0.04001482030381623,583.0
2,0.3318777292576419,0.13010516018586452,0.18692902319044272,4089.0
3,0.5708661417322834,0.8206072583542939,0.6733249797302278,11132.0
4,0.27010378305992633,0.6654569449026724,0.3842453683859599,6062.0
5,0.9959179230392423,0.9696359493402575,0.9826012243582859,18871.0
6,0.9707653651338093,0.6578378378378379,0.7842379134245163,37000.0
7,0.9111037673496365,0.7886155606407322,0.8454461821527139,3496.0
8,0.6666666666666666,0.07407407407407407,0.13333333333333333,378.0
9,0.6153846153846154,0.36363636363636365,0.45714285714285713,44.0
accuracy,0.7194529466064228,0.7194529466064228,0.7194529466064228,0.7194529466064228
macro avg,0.5393417108000722,0.46216777007252396,0.4531401460433626,82332.0
weighted avg,0.8206359190468585,0.7194529466064228,0.7436715771767052,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,41.99,41.99,41.99,41.99
feature_selection_method,chi2,chi2,chi2,chi2
k,30,30,30,30
feature_selection_time,0.08,0.08,0.08,0.08
recall,0.7194529466064228,0.7194529466064228,0.7194529466064228,0.7194529466064228
precision,0.8206359190468585,0.8206359190468585,0.8206359190468585,0.8206359190468585
f1_score,0.7436715771767052,0.7436715771767052,0.7436715771767052,0.7436715771767052
