,precision,recall,f1-score,support
0,0.949117030829093,0.6856216216216217,0.7961335676625659,37000.0
1,0.7908064168045464,0.9699991176211065,0.871284774510581,45332.0
accuracy,0.8421998736821649,0.8421998736821649,0.8421998736821649,0.8421998736821649
macro avg,0.8699617238168198,0.8278103696213641,0.8337091710865734,82332.0
weighted avg,0.861951205208912,0.8421998736821649,0.837511822883309,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,binary,binary,binary,binary
pca,none,none,none,none
model_training_time,3.46,3.46,3.46,3.46
feature_selection_method,chi2,chi2,chi2,chi2
k,10,10,10,10
feature_selection_time,0.06,0.06,0.06,0.06
recall,0.8421998736821649,0.8421998736821649,0.8421998736821649,0.8421998736821649
precision,0.861951205208912,0.861951205208912,0.861951205208912,0.861951205208912
f1_score,0.837511822883309,0.837511822883309,0.837511822883309,0.837511822883309
