,precision,recall,f1-score,support
0,0.009107468123861567,0.014771048744460856,0.011267605633802818,677.0
1,0.03864734299516908,0.0274442538593482,0.0320962888665998,583.0
2,0.3762183235867446,0.09439960870628515,0.1509286412512219,4089.0
3,0.537771681789407,0.9157384117858426,0.6776123371443765,11132.0
4,0.26819715594119065,0.7342461233916199,0.392885515049872,6062.0
5,0.9989062670895767,0.9679402257432038,0.9831794816589068,18871.0
6,0.9809703788344907,0.6032702702702702,0.7470964286909663,37000.0
7,0.9341619079610346,0.7954805491990846,0.8592615479684845,3496.0
8,0.5679611650485437,0.30952380952380953,0.4006849315068493,378.0
9,0.6842105263157895,0.29545454545454547,0.4126984126984127,44.0
accuracy,0.7112058494874411,0.7112058494874411,0.7112058494874411,0.7112058494874411
macro avg,0.5396152217685808,0.47582688466784706,0.46677111904694923,82332.0
weighted avg,0.8239351430783778,0.7112058494874411,0.7280047115913643,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,34.61,34.61,34.61,34.61
feature_selection_method,rfe,rfe,rfe,rfe
k,30,30,30,30
feature_selection_time,15.15,15.15,15.15,15.15
recall,0.7112058494874411,0.7112058494874411,0.7112058494874411,0.7112058494874411
precision,0.8239351430783778,0.8239351430783778,0.8239351430783778,0.8239351430783778
f1_score,0.7280047115913643,0.7280047115913643,0.7280047115913643,0.7280047115913643
