,precision,recall,f1-score,support
0,0.009578544061302681,0.014771048744460856,0.011621150493898896,677.0
1,0.033816425120772944,0.024013722126929673,0.028084252758274825,583.0
2,0.41003671970624234,0.08192712154561017,0.13656746840603343,4089.0
3,0.5291234587009235,0.921307941070787,0.6721940029493692,11132.0
4,0.26722083002261476,0.721214120752227,0.3899567408464523,6062.0
5,0.9987422071530132,0.9677812516559801,0.9830180046828323,18871.0
6,0.9788883535543779,0.604027027027027,0.7470709164145677,37000.0
7,0.9318181818181818,0.7974828375286042,0.8594327990135635,3496.0
8,0.5957446808510638,0.2962962962962963,0.3957597173144876,378.0
9,0.6875,0.25,0.36666666666666664,44.0
accuracy,0.7106592819316913,0.7106592819316913,0.7106592819316913,0.7106592819316913
macro avg,0.5442469400988493,0.46788213667479217,0.4590371719546146,82332.0
weighted avg,0.8233997223024349,0.7106592819316913,0.7262292992510402,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,35.11,35.11,35.11,35.11
feature_selection_method,mutual_information,mutual_information,mutual_information,mutual_information
k,30,30,30,30
feature_selection_time,16.88,16.88,16.88,16.88
recall,0.7106592819316913,0.7106592819316913,0.7106592819316913,0.7106592819316913
precision,0.8233997223024349,0.8233997223024349,0.8233997223024349,0.8233997223024349
f1_score,0.7262292992510402,0.7262292992510402,0.7262292992510402,0.7262292992510402
