,precision,recall,f1-score,support
0,0.007371007371007371,0.008862629246676515,0.008048289738430584,677.0
1,0.03855421686746988,0.0274442538593482,0.03206412825651302,583.0
2,0.34635149023638234,0.08241623868916606,0.13314895298301066,4089.0
3,0.527978011720168,0.9145706072583543,0.6694722998520467,11132.0
4,0.26728413504631016,0.7378752886836027,0.39242005527043033,6062.0
5,0.9990664982702762,0.9641248476498331,0.9812847203494958,18871.0
6,0.9812351334684168,0.6020540540540541,0.7462396569629158,37000.0
7,0.9330867518493612,0.7937643020594966,0.8578052550231839,3496.0
8,0.5550239234449761,0.30687830687830686,0.39522998296422485,378.0
9,0.625,0.22727272727272727,0.3333333333333333,44.0
accuracy,0.7091288927755915,0.7091288927755915,0.7091288927755915,0.7091288927755915
macro avg,0.5280951168274368,0.4665263255651566,0.45490466747335845,82332.0
weighted avg,0.8210644747101674,0.7091288927755915,0.7250114925157624,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,35.03,35.03,35.03,35.03
feature_selection_method,anova,anova,anova,anova
k,30,30,30,30
feature_selection_time,0.09,0.09,0.09,0.09
recall,0.7091288927755915,0.7091288927755915,0.7091288927755915,0.7091288927755915
precision,0.8210644747101674,0.8210644747101674,0.8210644747101674,0.8210644747101674
f1_score,0.7250114925157624,0.7250114925157624,0.7250114925157624,0.7250114925157624
