,precision,recall,f1-score,support
0,0.006587615283267457,0.014771048744460856,0.009111617312072893,677.0
1,0.0502283105022831,0.03773584905660377,0.043095004897159644,583.0
2,0.41009463722397477,0.09537784299339692,0.15476190476190477,4089.0
3,0.5437802735934423,0.9177146963708228,0.6829105250843945,11132.0
4,0.2751261628260473,0.7464533157373804,0.40206139766315696,6062.0
5,0.9987918062496568,0.9637539081129776,0.9809600862998922,18871.0
6,0.9853750936082111,0.6045675675675676,0.7493676822833788,37000.0
7,0.9007138221933809,0.7940503432494279,0.8440255396777135,3496.0
8,0.4835164835164835,0.2328042328042328,0.3142857142857143,378.0
9,0.7058823529411765,0.2727272727272727,0.39344262295081966,44.0
accuracy,0.7116916873147743,0.7116916873147743,0.7116916873147743,0.7116916873147743
macro avg,0.5360096557937923,0.46799560773641424,0.45740220952162075,82332.0
weighted avg,0.8271583213428548,0.7116916873147743,0.7291052972646564,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,34.11,34.11,34.11,34.11
feature_selection_method,variance_threshold,variance_threshold,variance_threshold,variance_threshold
k,10.0,10.0,10.0,10.0
feature_selection_time,0.07,0.07,0.07,0.07
recall,0.7116916873147743,0.7116916873147743,0.7116916873147743,0.7116916873147743
precision,0.8271583213428548,0.8271583213428548,0.8271583213428548,0.8271583213428548
f1_score,0.7291052972646564,0.7291052972646564,0.7291052972646564,0.7291052972646564
