,precision,recall,f1-score,support
0,0.030851063829787233,0.04283604135893648,0.035868893011750155,677.0
1,0.054245283018867926,0.03945111492281304,0.04568023833167825,583.0
2,0.3805104408352668,0.08021521154316459,0.13249848515451423,4089.0
3,0.5286528497409326,0.9165468918433345,0.6705441640378549,11132.0
4,0.2675591307479889,0.7352358957439789,0.39234154929577464,6062.0
5,0.9989576475751591,0.964919718085952,0.9816437100730477,18871.0
6,0.981422785701708,0.6025405405405405,0.7466675597829727,37000.0
7,0.9360622462787551,0.7914759725400458,0.8577185368877868,3496.0
8,0.5225225225225225,0.30687830687830686,0.38666666666666666,378.0
9,0.6923076923076923,0.4090909090909091,0.5142857142857142,44.0
accuracy,0.7098576495165914,0.7098576495165914,0.7098576495165914,0.7098576495165914
macro avg,0.5393091662558681,0.48891906025479814,0.47639155175277603,82332.0
weighted avg,0.82324912354878,0.7098576495165914,0.7257718016367909,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,33.3,33.3,33.3,33.3
feature_selection_method,mutual_information,mutual_information,mutual_information,mutual_information
k,20,20,20,20
feature_selection_time,16.86,16.86,16.86,16.86
recall,0.7098576495165914,0.7098576495165914,0.7098576495165914,0.7098576495165914
precision,0.82324912354878,0.82324912354878,0.82324912354878,0.82324912354878
f1_score,0.7257718016367909,0.7257718016367909,0.7257718016367909,0.7257718016367909
