,0
0,proto
1,service
2,state
3,spkts
4,dpkts
5,sttl
6,dttl
7,dinpkt
8,swin
9,synack
10,smean
11,dmean
12,trans_depth
13,response_body_len
14,ct_srv_src
15,ct_state_ttl
16,ct_dst_ltm
17,ct_dst_sport_ltm
18,ct_flw_http_mthd
19,is_sm_ips_ports
