,precision,recall,f1-score,support
0,0.031309904153354634,0.0723781388478582,0.043710972346119537,677.0
1,0.017049180327868854,0.044596912521440824,0.024667931688804556,583.0
2,0.2732615083251714,0.06823184152604549,0.10919765166340509,4089.0
3,0.6070874861572536,0.7386812791951132,0.6664505409895854,11132.0
4,0.2441361336808217,0.5254041570438799,0.3333682227339334,6062.0
5,0.9571460498379707,0.9077950294102062,0.9318175637085588,18871.0
6,0.9268443680137575,0.7283243243243244,0.8156791524782444,37000.0
7,0.6313213703099511,0.7748855835240275,0.695775009631437,3496.0
8,0.31932773109243695,0.30158730158730157,0.31020408163265306,378.0
9,0.3333333333333333,0.06818181818181818,0.11320754716981132,44.0
accuracy,0.7125661954039741,0.7125661954039741,0.7125661954039741,0.7125661954039741
macro avg,0.4340817065231919,0.4230066386162016,0.40440786740425533,82332.0
weighted avg,0.7783677149308271,0.7125661954039741,0.7317861112769897,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,37.53,37.53,37.53,37.53
feature_selection_method,anova,anova,anova,anova
k,20,20,20,20
feature_selection_time,0.09,0.09,0.09,0.09
recall,0.7125661954039741,0.7125661954039741,0.7125661954039741,0.7125661954039741
precision,0.7783677149308271,0.7783677149308271,0.7783677149308271,0.7783677149308271
f1_score,0.7317861112769897,0.7317861112769897,0.7317861112769897,0.7317861112769897
