,precision,recall,f1-score,support
0,0.9366935219755027,0.773,0.8470103947641188,37000.0
1,0.8378508822734468,0.9573590399717639,0.8936270977041079,45332.0
accuracy,0.8745080891998251,0.8745080891998251,0.8745080891998251,0.8745080891998251
macro avg,0.8872722021244748,0.8651795199858819,0.8703187462341133,82332.0
weighted avg,0.8822707635951208,0.8745080891998251,0.87267755185584,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,binary,binary,binary,binary
pca,none,none,none,none
model_training_time,4.53,4.53,4.53,4.53
feature_selection_method,variance_threshold,variance_threshold,variance_threshold,variance_threshold
k,0.95,0.95,0.95,0.95
feature_selection_time,0.08,0.08,0.08,0.08
recall,0.8745080891998251,0.8745080891998251,0.8745080891998251,0.8745080891998251
precision,0.8822707635951208,0.8822707635951208,0.8822707635951208,0.8822707635951208
f1_score,0.87267755185584,0.87267755185584,0.87267755185584,0.87267755185584
