,precision,recall,f1-score,support
0,0.019830028328611898,0.0206794682422452,0.02024584237165582,677.0
1,0.1398176291793313,0.07890222984562607,0.10087719298245613,583.0
2,0.3407181054239878,0.1090731230129616,0.16524638755094478,4089.0
3,0.5712641589436065,0.847197269134028,0.6823920986939691,11132.0
4,0.3148148148148148,0.5496535796766744,0.400336417157275,6062.0
5,0.9965154897370284,0.9699009061522972,0.9830280895859068,18871.0
6,0.9425841968911917,0.7866756756756756,0.8576016499705362,37000.0
7,0.9173770491803279,0.8003432494279176,0.8548732050106935,3496.0
8,0.2767857142857143,0.41005291005291006,0.3304904051172708,378.0
9,0.34210526315789475,0.29545454545454547,0.3170731707317073,44.0
accuracy,0.7730287130155954,0.7730287130155954,0.7730287130155954,0.7730287130155954
macro avg,0.48618124499425097,0.48679329566748814,0.47121644591724154,82332.0
weighted avg,0.8109063529630189,0.7730287130155954,0.779538162146046,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,51.71,51.71,51.71,51.71
feature_selection_method,mutual_information,mutual_information,mutual_information,mutual_information
k,10,10,10,10
feature_selection_time,20.83,20.83,20.83,20.83
recall,0.7730287130155954,0.7730287130155954,0.7730287130155954,0.7730287130155954
precision,0.8109063529630189,0.8109063529630189,0.8109063529630189,0.8109063529630189
f1_score,0.779538162146046,0.779538162146046,0.779538162146046,0.779538162146046
